Code,Traitement
00X,Exhaustive
11A,Automatic
11B,Automatic
11C,Simple
11D,Automatic
11E,Simple
11F,Automatic
22A,Automatic
22B,Automatic
22C,Automatic
22D,Simple
22E,Automatic
22F,Automatic
22G,Automatic
22H,Automatic
22I,Automatic
22J,Automatic
22K,Automatic
22L,Automatic
22M,Automatic
22N,Automatic
22O,Automatic
22P,Automatic
22Q,Automatic
22X,Automatic
33A,Simple
33B,Automatic
33C,Simple
33D,Simple
33E,Simple
33F,Simple
448,Exhaustive
449,Exhaustive
44A,Simple
44B,Simple
44C,Simple
44D,Simple
44E,Exhaustive
44F,Exhaustive
44G,Simple
44H,Simple
44I,Simple
44J,Simple
44K,Simple
44L,Simple
44X,Simple
558,Exhaustive
559,Exhaustive
55A,Exhaustive
55B,Exhaustive
55C,Simple
55D,Simple
55E,Simple
55F,Simple
55G,Simple
55H,Simple
55I,Simple
55J,Simple
55K,Simple
55L,Simple
66G,Exhaustive
66J,Exhaustive
66M,Exhaustive
66P,Exhaustive
66Q,Exhaustive
66R,Exhaustive
66S,Exhaustive
66T,Exhaustive
66U,Exhaustive
66V,Exhaustive
66W,Exhaustive
66X,Exhaustive
66Y,Exhaustive
66Z,Exhaustive
67A,Exhaustive
67B,Exhaustive
67C,Exhaustive
67D,Simple
67E,Simple
67F,Simple
68A,
68B,
68C,
68D,
6A1,
6A2,
6A3,
6A4,
6B1,
6B2,
6B3,
6B4,
6C1,
6C2,
6C3,
6C4,
6CX,
6D1,
6D2,
6D3,
6D4,
6D5,
6DX,
60,
600,
6000,
60000,
600000,
6G1,
6G2,
6G3,
6G4,
6G5,
6GX,
6H1,
6H2,
6H3,
6HX,
6J1,
6J2,
6J3,
6J4,
6J5,
6J6,
6J7,
6K1,
6K2,
6K3,
6K4,
6KX,
6L1,
6L2,
77O,Exhaustive
77P,Exhaustive
77Q,Exhaustive
77R,Exhaustive
77S,Exhaustive
77T,Exhaustive
77U,Exhaustive
77V,Exhaustive
77W,Exhaustive
77X,Exhaustive
88D,Simple
88E,Exhaustive
88F,Simple
88G,Simple
88H,Exhaustive
90A,
90B,Simple
90C,Simple
90D,Simple
90E,Simple
90F,Simple
90G,Simple
90H,Simple
90I,Simple
90J,Simple
90K,Simple
90L,Simple
90M,Simple
90N,Simple
90O,Simple
90P,Simple
91A,Simple
91B,Simple
92A,Simple
92B,Simple
93A,Simple
93B,Simple
93C,Simple
93D,Simple
93E,Simple
94A,Simple
94B,Simple
94C,Simple
94D,Simple
94E,Simple
94F,Simple
94G,Simple
95A,Simple
95B,Simple
95C,Simple
95D,Simple
95E,Simple
96A,Simple
96B,Simple
97A,Simple
97B,Simple
98A,Simple
XXX,Exhautive
